"","M","S","D","I"
"B_H3K4me3_ND391",99.7362023911576,0.242470172648702,0.00952487441660144,0.0118025617770931
"B_H3K4me3_ND422",99.6512747013753,0.324976980797194,0.00708283163275935,0.0166654861947279
"B_H3K4me3_ND425",99.6744363707428,0.303133938564855,0.0102155026915629,0.0122141880007817
"B_H3K4me3_SLE1077",99.4960963082969,0.473311847230361,0.0163730998586743,0.0142187446141119
"B_H3K4me3_SLE2239",99.5326389360114,0.44976080613422,0.00720974418131234,0.0103905136730678
"B_H3K4me3_SLE985",99.5351729101412,0.440340092454385,0.00787842525184345,0.0166085721525348
"M_H3K4me3_ND391",99.5437422698116,0.432564498844683,0.0102163474601508,0.0134768838836032
"M_H3K4me3_ND422",99.556885711825,0.418568598742572,0.00861252260787185,0.0159331668245629
"M_H3K4me3_ND425",99.6346606827962,0.345602842052422,0.00901012996039833,0.0107263451909504
"M_H3K4me3_SLE1077",99.341405075055,0.629648089182372,0.0137116590454509,0.0152351767171677
"M_H3K4me3_SLE2239",99.5110835757264,0.458884186871922,0.0115508605391102,0.0184813768625763
"M_H3K4me3_SLE985",99.3867821722469,0.585498181294952,0.00825241383104558,0.0194672326270819
"T_H3K4me3_ND391",99.6628924732808,0.308169404630531,0.0123094996944221,0.0166286223942193
"T_H3K4me3_ND422",99.55144223627,0.42549794789812,0.0113081789175634,0.0117516369143306
"T_H3K4me3_ND425",99.5727849854308,0.402840713945424,0.0099713048006293,0.0144029958231312
"T_H3K4me3_SLE1077",99.5209105132175,0.457607470877682,0.00729577898653523,0.014186236918263
"T_H3K4me3_SLE2239",99.629767482594,0.34855716600254,0.00875771773875728,0.012917633664667
"T_H3K4me3_SLE985",99.5569857444042,0.418518665848751,0.00774646855247814,0.0167491211945473
