"","Strand_Forward","Strand_Backward","Strand_Ambiguous","Percent_Forward","Count_0","Count_16","Percent_Count_0","Percent_Count_16"
"B_H3K4me3_ND391",4781,4877,0,49.503,4781,4877,49.503,50.497
"B_H3K4me3_ND422",4776,4824,0,49.75,4776,4824,49.75,50.25
"B_H3K4me3_ND425",4561,4444,0,50.65,4561,4444,50.6496,49.3504
"B_H3K4me3_SLE1077",4590,4692,0,49.451,4590,4692,49.4505,50.5495
"B_H3K4me3_SLE2239",4760,4671,0,50.472,4760,4671,50.4718,49.5282
"B_H3K4me3_SLE985",4682,4710,0,49.851,4682,4710,49.8509,50.1491
"M_H3K4me3_ND391",4642,4558,0,50.457,4642,4558,50.4565,49.5435
"M_H3K4me3_ND422",4562,4726,0,49.117,4562,4726,49.1171,50.8829
"M_H3K4me3_ND425",4699,4623,0,50.408,4699,4623,50.4076,49.5924
"M_H3K4me3_SLE1077",4627,4561,0,50.359,4627,4561,50.3592,49.6408
"M_H3K4me3_SLE2239",4753,4769,0,49.916,4753,4769,49.916,50.084
"M_H3K4me3_SLE985",4709,4742,0,49.825,4709,4742,49.8254,50.1746
"T_H3K4me3_ND391",4607,4653,0,49.752,4607,4653,49.7516,50.2484
"T_H3K4me3_ND422",4557,4462,0,50.527,4557,4462,50.5267,49.4733
"T_H3K4me3_ND425",4525,4500,0,50.139,4525,4500,50.1385,49.8615
"T_H3K4me3_SLE1077",4914,4954,0,49.797,4914,4954,49.7973,50.2027
"T_H3K4me3_SLE2239",4576,4558,0,50.099,4576,4558,50.0985,49.9015
"T_H3K4me3_SLE985",4845,4707,0,50.722,4845,4707,50.7224,49.2776
